battery_kwh,round,pmarl_packets,tl_packets,pmarl_ms,tl_ms
0.5,1,1076.20,1076.20,110.15,110.15
0.5,2,1100.10,1101.30,108.90,96.52
0.5,3,1094.10,1116.80,106.86,106.06
0.5,4,1110.70,1097.50,114.39,101.36
0.5,5,1114.50,1092.50,100.85,105.31
0.5,6,1081.70,1085.30,81.33,95.51
0.5,7,1090.00,1097.90,114.34,86.49
0.5,8,1085.30,1090.60,113.85,110.90
0.5,9,1102.30,1091.80,95.35,111.63
0.5,10,1065.20,1073.10,97.46,97.39
1.0,1,2615.80,2615.80,488.26,488.26
1.0,2,2536.20,2587.70,571.46,697.93
1.0,3,2558.00,2602.20,477.39,537.78
1.0,4,2568.90,2573.50,570.05,445.67
1.0,5,2577.50,2586.80,567.85,411.49
1.0,6,2573.10,2624.10,403.72,422.50
1.0,7,2594.00,2614.30,482.33,472.65
1.0,8,2576.90,2568.60,429.57,433.56
1.0,9,2538.60,2549.40,438.39,474.11
1.0,10,2519.70,2537.30,599.93,527.65
1.5,1,3775.60,3775.60,658.89,658.89
1.5,2,3793.00,3795.00,660.35,628.98
1.5,3,3800.50,3833.90,791.20,549.28
1.5,4,3769.00,3789.90,654.20,614.00
1.5,5,3749.30,3761.20,737.60,645.89
1.5,6,3782.90,3771.60,770.62,659.35
1.5,7,3771.10,3750.40,682.09,609.65
1.5,8,3716.60,3711.70,896.78,659.81
1.5,9,3725.50,3767.00,791.64,647.36
1.5,10,3754.20,3755.10,755.94,639.50
2.0,1,4588.90,4588.90,923.35,923.35
2.0,2,4602.20,4628.00,1119.25,821.76
2.0,3,4606.70,4604.70,863.57,836.40
2.0,4,4529.90,4484.20,1001.32,858.98
2.0,5,4544.80,4554.20,860.39,896.91
2.0,6,4580.10,4542.10,772.88,762.28
2.0,7,4558.20,4547.20,889.23,825.85
2.0,8,4517.40,4514.00,995.37,785.38
2.0,9,4466.80,4443.80,968.33,774.38
2.0,10,4413.20,4391.50,846.77,731.31
